b010 WMI_ROAM_BTM_CONFIG_CMDID
b011 WMI_ENABLE_FILS_CMDID
b012 WMI_REQUEST_ROAM_SCAN_STATS_CMDID
b013 WMI_ROAM_BSS_LOAD_CONFIG_CMDID
b014 WMI_ROAM_DEAUTH_CONFIG_CMDID
b015 WMI_ROAM_IDLE_CONFIG_CMDID
b016 DEPRECATED__WMI_ROAM_DSM_FILTER_CMDID
b017 WMI_ROAM_ENABLE_DISABLE_TRIGGER_REASON_CMDID
b018 WMI_ROAM_PREAUTH_STATUS_CMDID
40 WMI_GRP_SPATIAL_REUSE
42 WMI_GRP_HPCS_PULSE
43 WMI_GRP_AUDIO
44 WMI_GRP_CFR_CAPTURE
45 WMI_GRP_ATM
1 WMI_INIT_CMDID
2 WMI_READY_EVENTID
4 WMI_IFACE_COMBINATION_IND_EVENTID
5 WMI_GRP_VDEV
6 WMI_GRP_PEER
7 WMI_GRP_MGMT
8 WMI_GRP_BA_NEG
9 WMI_GRP_STA_PS
30001 WMI_SAP_OFL_ADD_STA_EVENTID
34001 WMI_MAWC_SENSOR_REPORT_IND_CMDID
30002 WMI_SAP_OFL_DEL_STA_EVENTID
30003 WMI_SAP_OBSS_DETECTION_REPORT_EVENTID
a WMI_GRP_DFS
b WMI_GRP_ROAM
c WMI_GRP_OFL_SCAN
31001 WMI_OCB_SET_CONFIG_RESP_EVENTID
d WMI_GRP_P2P
35001 WMI_PMF_OFFLOAD_SET_SA_QUERY_CMDID
e WMI_GRP_AP_PS
31002 WMI_OCB_SET_UTC_TIME_CMDID
13010 WMI_WOW_HOSTWAKEUP_GPIO_PIN_PATTERN_CONFIG_CMDID
f WMI_GRP_RATE_CTRL
31003 WMI_DCC_GET_STATS_RESP_EVENTID
13011 WMI_WOW_SET_ACTION_WAKE_UP_CMDID
31004 WMI_OCB_STOP_TIMING_ADVERT_CMDID
31005 WMI_DCC_STATS_EVENTID
31006 WMI_DCC_GET_STATS_CMDID
31007 WMI_DCC_CLEAR_STATS_CMDID
31008 WMI_DCC_UPDATE_NDL_CMDID
36001 WMI_BPF_GET_CAPABILITY_CMDID
32001 WMI_SOC_SET_PCL_CMDID
32002 WMI_SOC_HW_MODE_TRANSITION_EVENTID
36002 WMI_BPF_VDEV_STATS_INFO_EVENTID
36003 WMI_BPF_GET_VDEV_WORK_MEMORY_RESP_EVENTID
32003 WMI_SOC_SET_DUAL_MAC_CONFIG_RESP_EVENTID
32004 WMI_SOC_SET_ANTENNA_MODE_CMDID
36004 WMI_BPF_DEL_VDEV_INSTRUCTIONS_CMDID
36005 WMI_BPF_SET_VDEV_ACTIVE_MODE_CMDID
36006 WMI_BPF_SET_VDEV_ENABLE_CMDID
36007 WMI_BPF_SET_VDEV_WORK_MEMORY_CMDID
36008 WMI_BPF_GET_VDEV_WORK_MEMORY_CMDID
4030 WMI_PDEV_UPDATE_CTLTABLE_REQUEST_CMDID
4031 WMI_PDEV_CONFIG_VENDOR_OUI_ACTION_CMDID
4033 WMI_PDEV_SET_RX_FILTER_PROMISCUOUS_CMDID
4034 WMI_PDEV_DMA_RING_CFG_REQ_CMDID
4035 WMI_PDEV_HE_TB_ACTION_FRM_CMDID
4036 WMI_PDEV_PKTLOG_FILTER_CMDID
4037 WMI_PDEV_SET_RAP_CONFIG_CMDID
33002 WMI_PACKET_FILTER_ENABLE_CMDID
1c001 WMI_PEER_TID_ADDBA_CMDID
1c002 WMI_PEER_TID_DELBA_CMDID
1c003 WMI_STA_DTIM_PS_METHOD_CMDID
1c004 WMI_STA_UAPSD_AUTO_TRIG_CMDID
1c005 WMI_STA_KEEPALIVE_CMDID
1c006 WMI_BA_REQ_SSN_CMDID
38001 WMI_NDI_GET_CAP_REQ_CMDID
38002 WMI_NDP_INITIATOR_REQ_CMDID
38003 WMI_NDP_RESPONDER_REQ_CMDID
38004 WMI_NDP_END_REQ_CMDID
38006 WMI_NDP_CONFIRM_EVENTID
38007 WMI_NDP_END_INDICATION_EVENTID
38008 WMI_WLAN_COEX_BT_ACTIVITY_EVENTID
38009 WMI_NDL_SCHEDULE_UPDATE_EVENTID
1d001 WMI_ECHO_EVENTID
1d002 WMI_PDEV_UTF_EVENTID
1d003 WMI_DBGLOG_CFG_CMDID
1d004 WMI_UPDATE_STATS_EVENTID
1d005 WMI_DEBUG_PRINT_EVENTID
1d006 WMI_DCS_INTERFERENCE_EVENTID
1d007 WMI_PDEV_QVIT_EVENTID
1d008 WMI_FORCE_FW_HANG_CMDID
1d009 WMI_PDEV_FTM_INTG_EVENTID
39001 WMI_MNT_FILTER_CMDID
1e001 WMI_GPIO_CONFIG_CMDID
1a001 WMI_CSA_OFFLOAD_ENABLE_CMDID
1e002 WMI_UPLOADH_EVENTID
1a002 WMI_CSA_OFFLOAD_CHANSWITCH_CMDID
1e003 WMI_TXBF_CMDID
1e004 WMI_RFKILL_STATE_CHANGE_EVENTID
3800a WMI_NDP_EVENTID
1d00a WMI_WLAN_FREQ_AVOID_EVENTID
1d00b WMI_VDEV_GET_KEEPALIVE_EVENTID
1d00c WMI_THERMAL_MGMT_EVENTID
1d00d WMI_DIAG_DATA_CONTAINER_EVENTID
1d00e WMI_HOST_AUTO_SHUTDOWN_EVENTID
1d00f WMI_RSSI_BREACH_MONITOR_CONFIG_CMDID
1f001 WMI_FWTEST_VDEV_MCC_SET_TBTT_MODE_CMDID
1b001 WMI_CHATTER_PC_QUERY_EVENTID
1f002 WMI_FWTEST_P2P_SET_NOA_PARAM_CMDID
1b002 WMI_CHATTER_ADD_COALESCING_FILTER_CMDID
1f003 WMI_UNIT_TEST_CMDID
1b003 WMI_CHATTER_DELETE_COALESCING_FILTER_CMDID
1b004 WMI_CHATTER_COALESCING_QUERY_CMDID
1f004 WMI_FWTEST_CMDID
1f005 WMI_QBOOST_CFG_CMDID
10 WMI_GRP_PROFILE
11 WMI_GRP_SUSPEND
12 WMI_GRP_BCN_FILTER
13 WMI_GRP_WOW
14 WMI_GRP_RTT
15 WMI_GRP_SPECTRAL
16 WMI_GRP_STATS
17 WMI_GRP_ARP_NS_OFL
18 WMI_GRP_NLO_OFL
19 WMI_GRP_GTK_OFL
1a WMI_GRP_CSA_OFL
1b WMI_GRP_CHATTER
1c WMI_GRP_TID_ADDBA
1d WMI_GRP_MISC
1e WMI_GRP_GPIO
1f WMI_GRP_FWTEST
3001 WMI_START_SCAN_CMDID
7001 WMI_MGMT_RX_EVENTID
3002 WMI_STOP_SCAN_CMDID
7002 WMI_PDEV_SEND_BCN_CMDID
3003 WMI_SCAN_CHAN_LIST_CMDID
7003 WMI_BCN_TMPL_CMDID
3004 WMI_SCAN_SCH_PRIO_TBL_CMDID
7004 WMI_BCN_FILTER_RX_CMDID
3005 WMI_SCAN_UPDATE_REQUEST_CMDID
7005 WMI_OFFLOAD_PROB_RESP_TX_STATUS_EVENTID
3006 WMI_SCAN_PROB_REQ_OUI_CMDID
3007 WMI_SCAN_ADAPTIVE_DWELL_CONFIG_CMDID
7007 WMI_PRB_TMPL_CMDID
7008 WMI_TBTTOFFSET_EXT_UPDATE_EVENTID
3008 WMI_SET_SCAN_DBS_DUTY_CYCLE_CMDID
7009 WMI_OFFCHAN_DATA_TX_SEND_CMDID
4001 WMI_PDEV_SET_REGDOMAIN_CMDID
4002 WMI_PDEV_SET_CHANNEL_CMDID
4003 WMI_PDEV_SET_PARAM_CMDID
8003 WMI_ADDBA_STATUS_CMDID
4004 WMI_PDEV_DUMP_EVENTID
4005 WMI_TX_PAUSE_EVENTID
8005 WMI_ADDBA_SET_RESP_CMDID
8006 WMI_SEND_SINGLEAMSDU_CMDID
4006 WMI_DFS_RADAR_EVENTID
